Country Name,Country Code,1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011]
Sudan,SDN,0.137465511949685,0.169602368250794,0.14291034853417,0.150670884476316,0.159133713745191,0.178055692848892,0.220598608029217,0.239590404729863,0.292150009533967,0.267090640335919,0.278837921919955,0.30888397658094,0.318940845724107,0.343430681519523,0.341750838615107,0.349548724216747
Suriname,SUR,4.69638027302806,4.63967034181238,4.61200832217741,4.52557097113976,4.42403655946634,4.69535945147766,4.64529449627882,4.60968417339805,4.69886084951932,4.85207693511572,4.93908898625475,4.89711210432915,4.84197987987929,4.82950000195114,4.62142737208598,3.64991336144231
Swaziland,SWZ,0.346398092038037,1.19469982915491,1.17992036504539,1.18250710059905,1.11694203804591,1.06451549873693,1.04026446250445,0.957239723553218,0.941222625653673,0.922856454851436,0.908384337741593,0.937064095526029,0.950321126760563,0.890557455333443,0.869767204068565,0.864988312997234
Sweden,SWE,6.32403140459934,5.89509851954463,5.98545979233472,5.76966651365779,5.56243008285854,5.74702606576468,6.43422859805055,6.11519453231213,6.06224140440501,5.71031351209116,5.45900321623082,5.25352193659618,5.32610958544246,4.70436870833676,5.60600049519488,5.5184214812387
Switzerland,CHE,5.6401025191428,5.84948312193729,5.86565191762983,5.69710026230436,5.43548498451474,5.94238445202351,5.58953309741593,5.47826441228173,5.46604259350102,5.56328105723792,5.5956051990838,5.03494463137043,5.28160584752882,5.37229118249094,4.95249925590189,4.62522992397501
Syrian Arab Republic,SYR,3.00278646970873,2.70379004382403,3.22965891327377,3.27936500582566,3.12144740905158,2.92228094978356,2.29846564096023,3.13714774080651,2.89219656072322,2.79238830846262,2.86143558911161,3.42167306363866,3.36081412318232,3.01231845135801,2.97174107200167,2.7369909434886
Tajikistan,TJK,0.4822840273589,0.362575167009726,0.415352473625769,0.413386431458752,0.361593119600036,0.364344121761163,0.293633920953629,0.317704421226135,0.384487180025644,0.358851866572725,0.382552665878704,0.463345438758387,0.409462437097398,0.382774553065694,0.373872943468058,0.358947629748805
Tanzania,TZA,0.112632755120179,0.0914023599009583,0.0790713623423472,0.076581936939059,0.0779969692503352,0.0896285120786341,0.100123969892468,0.103247503378973,0.11503075206877,0.140895493733617,0.149737237271734,0.144041145027586,0.147981815459091,0.139972868324949,0.150058649211557,0.154934900364361
Thailand,THA,3.12239353542493,3.18931516932621,2.79286252656162,2.94980278570884,3.00439423197259,3.1874449165747,3.3674230727511,3.58235026432931,3.85821342750582,3.88936886634519,3.99219845848141,3.99468714359492,3.98405966720517,4.19851191460529,4.47042614871008,4.53449173353441
Togo,TGO,0.241242256611232,0.218890638227524,0.252140512962001,0.323627088263388,0.27833102722507,0.23219880536684,0.239597745730171,0.276938268632579,0.257366421100875,0.239943071435524,0.213027515733557,0.239676701841331,0.285947796912474,0.270613774387794,0.269107040674239,0.319443621625301
